agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone,agency_fare_url,agency_email
AERO_51,AEROSTAR,https://iloilo.gov.ph/en/taxonomy/term/1048,Asia/Manila,en,,,
MTCOOP_52,MITSCOOP,https://iloilo.gov.ph/en/taxonomy/term/1048,Asia/Manila,en,,,
MTCOOP_54,MITSCOOP,https://iloilo.gov.ph/en/taxonomy/term/1048,Asia/Manila,en,,,
APOD_55,APODTC_r55,https://iloilo.gov.ph/en/taxonomy/term/1048,Asia/Manila,en,,,
M_TSE1,Route 1 Transport Coop,https://iloilo.gov.ph/en/taxonomy/term/1048,Asia/Manila,en,,,
M_TSE10,Route 10 Transport Coop,https://iloilo.gov.ph/en/taxonomy/term/1048,Asia/Manila,en,,,
M_TSE11,Route 11 Transport Coop,https://iloilo.gov.ph/en/taxonomy/term/1048,Asia/Manila,en,,,
M_TSE12,Route 12 Transport Coop,https://iloilo.gov.ph/en/taxonomy/term/1048,Asia/Manila,en,,,
M_TSE13,Route 13 Transport Coop,https://iloilo.gov.ph/en/taxonomy/term/1048,Asia/Manila,en,,,
M_TSE14,Route 14 Transport Coop,https://iloilo.gov.ph/en/taxonomy/term/1048,Asia/Manila,en,,,
M_TSE15,Route 15 Transport Coop,https://iloilo.gov.ph/en/taxonomy/term/1048,Asia/Manila,en,,,
M_TSE16,Route 16 Transport Coop,https://iloilo.gov.ph/en/taxonomy/term/1048,Asia/Manila,en,,,
M_TSE17,Route 17 Transport Coop,https://iloilo.gov.ph/en/taxonomy/term/1048,Asia/Manila,en,,,
AERO_18,AEROSTAR_r18,https://iloilo.gov.ph/en/taxonomy/term/1048,Asia/Manila,en,,,
AERO_19,AEROSTAR_r19,https://iloilo.gov.ph/en/taxonomy/term/1048,Asia/Manila,en,,,
M_TSE2,Route 2 Transport Coop,https://iloilo.gov.ph/en/taxonomy/term/1048,Asia/Manila,en,,,
APODTC20,APODTC,https://iloilo.gov.ph/en/taxonomy/term/1048,Asia/Manila,en,,,
JOROSHELY_21,JOROSHELY,https://www.facebook.com/jtsinc/,Asia/Manila,en,,,
SBNITC22,SBNITC,https://iloilo.gov.ph/en/taxonomy/term/1048,Asia/Manila,en,,,
CITSCO23,CITSCO,https://iloilo.gov.ph/en/taxonomy/term/1048,Asia/Manila,en,,,
PIJODTC24,PIJODTC,https://iloilo.gov.ph/en/taxonomy/term/1048,Asia/Manila,en,,,
APSDTC25,APSDTC,https://iloilo.gov.ph/en/taxonomy/term/1048,Asia/Manila,en,,,
M_TSE3,Route 3 Transport Coop,https://iloilo.gov.ph/en/taxonomy/term/1048,Asia/Manila,en,,,
M_TSE4,Route 4 Transport Coop,https://iloilo.gov.ph/en/taxonomy/term/1048,Asia/Manila,en,,,
WVTC_5,WVTC,https://iloilo.gov.ph/en/taxonomy/term/1048,Asia/Manila,en,,,
M_TSE6,Route 6 Transport Coop,https://iloilo.gov.ph/en/taxonomy/term/1048,Asia/Manila,en,,,
M_TSE7,Route 7 Transport Coop,https://iloilo.gov.ph/en/taxonomy/term/1048,Asia/Manila,en,,,
ICASODA_8,ICASODA,https://iloilo.gov.ph/en/taxonomy/term/1048,Asia/Manila,en,,,
M_TSE9,Route 9 Transport Coop,https://iloilo.gov.ph/en/taxonomy/term/1048,Asia/Manila,en,,,
